carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz G 350 d AMG Line ~Widescreen ~Distronic ~Kamera,17950.0,102650.0,1.461,Diesel,Automatik,5,4/5,Euro6,limousine,1,G-Klasse,109.0,3.2466666666665938
Mercedes-Benz G -Modell Station G 500/AMG-Line Shd Standheizun,17950.0,102650.0,1.461,Diesel,Automatik,5,4/5,Euro6,limousine,1,G-Klasse,109.0,3.2466666666665938
Mercedes-Benz B 180 (CDI) d (Gute Ausstattung),42890.0,10000.0,1.497,Benzin,Automatik,4,2/3,Euro6d,sport,1,B-Klasse,156.0,0.4966666666665939
Mercedes-Benz E 63 AMG S 4Matic+ SPORTABGAS/DISTRONIC/HUD/360°,49990.0,146955.0,1.95,Diesel,Automatik,7,4/5,Euro6,van,1,E-Klasse,239.0,2.2466666666665938
Mercedes-Benz Vito Mixto 114 CDI BT MIX L GARANTIE 5 SITZE,49990.0,146955.0,1.95,Diesel,Automatik,7,4/5,Euro6,van,1,Vito,239.0,2.2466666666665938
Mercedes-Benz Mercedes Benz A250 AMG-Line,23900.0,71000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,A-Klasse,170.0,3.3299999999999272
Mercedes-Benz C 200 dt 1.Hand Navi Pdc....,32725.0,152603.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,2,C-Klasse,170.0,4.16333333333326
Mercedes-Benz E 220 d T 9G-TRONIC,53550.0,3310.0,1.95,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,194.0,1.1633333333332607
Mercedes-Benz GLA 180 AMG Styling PDC Navi Sportpaket Klima,66500.0,890.0,2.987,Diesel,Automatik,9,4/5,Euro6,van,1,GLA,190.0,0.5799999999999272
Mercedes-Benz CLS 450 4Matic AMG DISTRONIC PLUS 360°-Kamera MU,24990.0,106326.0,1.991,Benzin,Automatik,5,4/5,Euro6,kombi,2,CL,184.0,3.9133333333332607
Mercedes-Benz CLA 250 e AMG Night Kamera MBUX LED High Perform,30345.0,89.0,1.332,Benzin,Schaltgetriebe,5,4/5,Euro6d,limousine,1,CLA,136.0,0.5799999999999272
Mercedes-Benz AMG GT 63 S 4Matic+ DISTRONIC PLUS Memory Keyles,74900.0,94353.0,3.982,Benzin,Automatik,5,4/5,Euro6,limousine,1,S-Klasse,612.0,3.3299999999999272
Mercedes-Benz GLE 350 e AMG Coupe 4Matic Distronic Pano LED AH,74900.0,94353.0,3.982,Benzin,Automatik,5,4/5,Euro6,limousine,1,GLE,612.0,3.3299999999999272
Mercedes-Benz EQC 400 4Matic AMG 360°-Kamera Distronic Plus SH,27880.0,27500.0,2.143,Diesel,Automatik,6,4/5,Euro6,van,1,OTHER,136.0,3.1633333333332607
Mercedes-Benz C 220 Cabrio d 4M AMG Night KEYLESS AHK Airscarf,27137.0,38500.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,2,C-Klasse,163.0,3.3299999999999272
Mercedes-Benz C 300 T d AMG AHK Ambiente Kamera Multibeam Komf,67700.0,16800.0,2.999,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,389.0,0.996666666666594
Mercedes-Benz CLA 200 Shooting Brake AMG Night Kamera DAB MBUX,46600.0,9900.0,1.332,Hybrid,Automatik,5,4/5,Euro6d,limousine,1,CLA,218.0,0.996666666666594
Mercedes-Benz E 53 AMG 4M+ 360°-Kamera AIRMATIC Dual Pano Dist,41888.0,98000.0,2.925,Diesel,Automatik,5,4/5,Euro6,limousine,1,E-Klasse,286.0,2.6633333333332607
Mercedes-Benz C 220 d Coupe AMG DISTRONIC PLUS Panorama 360°-K,55900.0,5500.0,1.991,Benzin,Automatik,5,4/5,Euro6d,suv,1,C-Klasse,211.0,0.7466666666665939
Mercedes-Benz C 250 9G-TRONIC AMG Line STANDHZ+LED,27900.0,6900.0,1.332,Benzin,Schaltgetriebe,5,4/5,Euro6d,limousine,1,C-Klasse,163.0,1.4133333333332605
Mercedes-Benz Sprinter 316 CDI 3 SEITEN KIPPPER/KLIMA/STHZN/7S,44900.0,3500.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,Sprinter,224.0,0.7466666666665939
Mercedes-Benz Mercedes Benz E-Klasse 220d AMG T-Modell,49900.0,20200.0,1.95,Diesel,Automatik,5,2/3,Euro6d,cabrio,1,E-Klasse,194.0,1.6633333333332605
"Mercedes-Benz CLA 200 Shoting Brake , Diesel , Urban, LED",59900.0,9900.0,2.996,Benzin,Automatik,5,4/5,Euro6d,limousine,1,CLA,390.0,0.8299999999999272
Mercedes-Benz C 180 T 9G-TRONIC,38900.0,8500.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,C-Klasse,245.0,1.2466666666665938
"Mercedes-Benz A 160 CDI 1,5 Ltr. Automatik Keyless Go",37800.0,3000.0,1.332,Benzin,Automatik,5,4/5,Euro6d,kombi,1,A-Klasse,163.0,0.5799999999999272
"Mercedes-Benz E 220 d T AMG Line*LED*Comand*Night*20""AMG*RFK",74900.0,19800.0,2.999,Hybrid,Automatik,5,4/5,Euro6d,limousine,1,E-Klasse,457.0,0.9133333333332606
Mercedes-Benz E 300 de T AVANTGARDE/MULTIBEAM/Distronic/AHK,39900.0,25200.0,1.597,Diesel,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,160.0,0.9133333333332606
Mercedes-Benz Mercedes Benz E Klasse 220 D,42900.0,12500.0,1.95,Diesel,Automatik,5,2/3,Euro6d,sport,1,E-Klasse,194.0,0.9133333333332606
Mercedes-Benz Vito 119 CDI (BlueTEC) Lang Aut. Mixto/LKW,59900.0,6000.0,1.95,Hybrid,Automatik,5,4/5,Euro6d,limousine,1,Vito,194.0,1.2466666666665938
Mercedes-Benz V 250 Avantgarde kompakt 4Matic Comand Klima,24880.0,99850.0,2.143,Diesel,Automatik,8,4/5,Euro6,van,1,V-Klasse,136.0,3.4966666666665938
Mercedes-Benz Mercedes CLA 200d AMG PEAK Edition Nightpa...,29000.0,33500.0,2.143,Diesel,Schaltgetriebe,7,4/5,Euro6,van,1,CLA,163.0,4.16333333333326
Mercedes-Benz Mercedes-Benz A 220 d Kompaktlimousine,29000.0,33500.0,2.143,Diesel,Schaltgetriebe,7,4/5,Euro6,van,1,A-Klasse,163.0,4.16333333333326
Mercedes-Benz Mercedes CLA 200,14870.0,168393.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,CLA,136.0,3.3299999999999272
Mercedes-Benz A 180 Progessive 7G DCT*LED*BUSINESS*TWA*KAMERA*,17255.0,141106.0,1.461,Diesel,Automatik,5,4/5,Euro6,limousine,1,A-Klasse,90.0,4.579999999999927
Mercedes-Benz C 300 T-Modell AVANTGARDE Exterieur/COMAND APS,33900.0,25500.0,1.95,Diesel,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,194.0,2.7466666666665938
Mercedes-Benz GLC 200 d 4Matic*MBUX*Kamera*LED*Navi*el.Heckk*,35900.0,62400.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,GLC,194.0,3.2466666666665938
Mercedes-Benz CLA 180 Shooting Brake AMG Line+ Pano!,47720.0,18192.0,1.95,Hybrid,Automatik,5,4/5,Euro6,kombi,1,CLA,194.0,0.9133333333332606
Mercedes-Benz GLC 300 4Matic Pano LED Keyless,52900.0,79500.0,2.143,Diesel,Automatik,7,4/5,Euro6,van,1,GLC,190.0,4.496666666666594
Mercedes-Benz G 500 7G-TRONIC 1.Hand !!! ALLE EXTRAS !!!,29900.0,119978.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,G-Klasse,204.0,4.579999999999927
Mercedes-Benz C 63 AMG Coupe LED NAVI PANORAMA SPUR+TOTWINKEL,28990.0,27800.0,1.332,Benzin,Automatik,5,4/5,Euro6d,van,1,C-Klasse,136.0,1.8299999999999272
Mercedes-Benz Vito 111 CDI (BlueTEC)tourer 9 Sitze,44450.0,11995.0,1.991,Benzin,Automatik,4,2/3,Euro6d,sport,1,Vito,258.0,1.746666666666594
